features_count,model,rmse,r2,training_time
270,Randomforest(cuML),158.3256378173828,0.32847708463668823,14.530080080032349
280,RandomForest,159.3324537968724,0.48383115887019723,537.6424813270569
280,Randomforest(cuML),187.7059326171875,0.28362685441970825,14.234253644943237
290,RandomForest,128.83927099498985,0.5772706028949431,547.6574594974518
290,Randomforest(cuML),167.11318969726562,0.28880709409713745,14.997679710388184
300,RandomForest,95.7966625587217,0.6900188676514636,572.957300901413
300,Randomforest(cuML),141.24594116210938,0.32611405849456787,15.022286891937256
310,RandomForest,96.4092998584277,0.6761001546649374,583.7257981300354
310,Randomforest(cuML),141.52334594726562,0.3020423650741577,15.04361867904663
320,RandomForest,107.36662580158911,0.6339426703937618,610.5717880725861
320,Randomforest(cuML),148.2751922607422,0.3018520474433899,14.989538192749023
330,RandomForest,89.28762323317878,0.7069809869858156,626.3833334445953
330,Randomforest(cuML),134.7383575439453,0.33273887634277344,15.027302503585815
340,RandomForest,80.06370189237654,0.7272233302086017,650.3432245254517
340,Randomforest(cuML),126.96365356445312,0.3140465021133423,15.068477630615234
350,RandomForest,84.04697092083414,0.7406390222209871,661.7563719749451
350,Randomforest(cuML),136.4797821044922,0.3160927891731262,15.037219047546387
360,RandomForest,94.98936828032356,0.6697696626120306,682.9641253948212
360,Randomforest(cuML),139.88174438476562,0.28387451171875,14.946712732315063
370,RandomForest,104.42796004744153,0.6286724960799914,698.1747913360596
370,Randomforest(cuML),144.43992614746094,0.28960806131362915,15.154718160629272
380,RandomForest,138.15800353724,0.6346473396264327,721.0191948413849
380,Randomforest(cuML),194.40716552734375,0.27658963203430176,15.178401231765747
390,RandomForest,165.0675882233923,0.5416852388491781,741.5219142436981
390,Randomforest(cuML),211.62014770507812,0.24672377109527588,15.139894723892212
400,RandomForest,120.81351828909321,0.6056363835221169,760.5736033916473
400,Randomforest(cuML),163.9772186279297,0.2735046148300171,15.148904085159302
410,RandomForest,128.55964791244267,0.5876898596178198,780.7454352378845
410,Randomforest(cuML),172.3939208984375,0.2585896849632263,15.471051216125488
420,RandomForest,138.25852853369622,0.635867176536237,797.8496251106262
420,Randomforest(cuML),196.49037170410156,0.26454097032546997,15.16664457321167
430,RandomForest,129.6550759330888,0.5932553654817392,812.5223844051361
430,Randomforest(cuML),176.5649871826172,0.2456863522529602,15.200998783111572
440,RandomForest,103.34391876425666,0.6726983087614467,834.040509223938
440,Randomforest(cuML),157.19297790527344,0.24274057149887085,15.151599645614624
450,RandomForest,100.46181477771682,0.6824508790882295,855.7761898040771
450,Randomforest(cuML),151.09474182128906,0.281697154045105,15.985180377960205
460,RandomForest,141.06139257306077,0.6019447348840519,875.3610849380493
460,Randomforest(cuML),200.07460021972656,0.19922411441802979,16.046679973602295
470,RandomForest,117.85157368159693,0.5224629022753076,902.2865450382233
470,Randomforest(cuML),148.70828247070312,0.23966199159622192,15.884359359741211
480,RandomForest,123.7864254520902,0.5913100216277317,908.6099960803986
480,Randomforest(cuML),167.59439086914062,0.2508532404899597,15.887973070144653
490,RandomForest,112.40870428360915,0.5616819731572691,920.7155797481537
490,Randomforest(cuML),149.88668823242188,0.22068053483963013,15.800580978393555
500,RandomForest,103.00547957019774,0.6081147135786056,938.9766931533813
500,Randomforest(cuML),143.43780517578125,0.24008405208587646,16.159564971923828
510,RandomForest,123.09692065406793,0.5778957636460613,965.5792067050934
510,Randomforest(cuML),165.56002807617188,0.23645198345184326,15.790278673171997
520,RandomForest,117.99002452367614,0.6383618453134869,990.3654944896698
520,Randomforest(cuML),170.51341247558594,0.24473249912261963,16.012803077697754
530,RandomForest,133.67337377469266,0.6084593613660068,1000.693440914154
530,Randomforest(cuML),185.32986450195312,0.24737632274627686,16.142560243606567
540,RandomForest,59.08214464590118,0.811730453914099,1013.431262254715
540,Randomforest(cuML),117.00530242919922,0.26162219047546387,15.881648540496826
550,RandomForest,110.86265356033577,0.6606428532077057,1036.181203842163
550,Randomforest(cuML),164.06344604492188,0.2567923069000244,12.46567678451538
560,RandomForest,135.35557617457172,0.643867429328087,1053.6131072044373
560,Randomforest(cuML),196.27320861816406,0.25117313861846924,12.50897765159607
570,RandomForest,99.63058263094429,0.6845792259022399,1065.9421129226685
570,Randomforest(cuML),154.9203338623047,0.2373560667037964,12.615379571914673
580,RandomForest,106.93718996872461,0.6492401049758525,1091.0890548229218
